genotype,replication,plant_height_cm,canopy_width_cm,leaf_area_index,spad_chlorophyll,ndvi_proxy,days_to_maturity,marketable_yield_t_ha,disease_score_1_9,vigor_score_1_9
PHENO_G01,1,43.2,48.5,2.6,43.0,0.70,76,21.4,2.1,7.7
PHENO_G01,2,44.1,49.2,2.7,43.8,0.71,75,21.9,2.0,7.8
PHENO_G01,3,42.8,48.0,2.5,42.6,0.69,77,21.1,2.2,7.6
PHENO_G02,1,55.5,61.3,3.8,37.2,0.64,91,22.6,4.4,7.0
PHENO_G02,2,56.1,62.0,3.9,37.8,0.65,92,23.0,4.3,7.1
PHENO_G02,3,55.0,60.8,NA,36.9,0.63,90,22.1,4.6,6.9
PHENO_G03,1,50.3,55.8,3.2,47.5,0.78,82,26.8,2.4,8.3
PHENO_G03,2,51.0,56.2,3.3,48.1,0.79,81,27.4,2.3,8.4
PHENO_G03,3,49.7,55.0,3.1,47.0,0.77,83,26.2,2.5,8.2
PHENO_G04,1,47.2,52.0,3.5,36.6,0.62,79,20.7,2.8,7.9
PHENO_G04,2,47.8,52.5,3.6,37.1,0.63,78,21.2,2.7,8.0
PHENO_G04,3,46.9,51.8,3.5,36.2,0.61,80,20.4,3.0,7.8
PHENO_G05,1,53.6,60.5,4.1,42.0,0.73,88,28.3,3.5,8.4
PHENO_G05,2,54.1,61.2,4.2,42.8,0.74,87,28.9,3.4,8.5
PHENO_G05,3,53.2,60.0,4.0,41.8,0.72,89,27.9,3.6,8.3
PHENO_G06,1,39.4,43.2,2.1,34.8,0.58,74,16.8,3.0,6.4
PHENO_G06,2,40.0,43.8,2.2,35.1,0.59,75,17.2,2.9,6.5
PHENO_G06,3,39.0,42.7,2.0,34.2,0.57,73,16.3,3.2,6.2
PHENO_G07,1,46.0,53.2,3.0,41.0,0.68,84,23.4,2.9,7.6
PHENO_G07,2,46.6,53.8,3.1,41.6,0.69,83,23.8,2.8,7.7
PHENO_G07,3,45.5,52.9,2.9,40.6,0.67,85,23.0,3.0,7.5
PHENO_G08,1,58.2,64.4,4.2,39.6,0.71,86,30.1,4.8,8.0
PHENO_G08,2,58.8,65.0,4.3,40.2,0.72,85,30.7,4.7,8.1
PHENO_G08,3,57.9,64.0,4.1,39.1,0.70,87,29.6,4.9,7.9
PHENO_G09,1,44.0,49.1,2.8,45.8,0.74,77,22.1,1.7,7.9
PHENO_G09,2,44.5,49.5,2.9,46.1,0.75,76,22.5,1.6,8.0
PHENO_G09,3,43.7,48.8,2.7,45.4,0.73,78,21.8,1.8,7.8
PHENO_G10,1,48.8,51.0,2.9,49.8,0.81,83,24.9,2.6,8.0
PHENO_G10,2,49.2,51.5,3.0,50.3,0.82,82,25.5,2.5,8.1
PHENO_G10,3,48.5,50.7,2.8,49.4,0.80,84,24.4,2.7,7.9
PHENO_G11,1,59.2,63.5,4.0,33.5,0.57,94,19.6,5.2,6.8
PHENO_G11,2,59.8,64.0,4.1,34.0,0.58,93,20.0,5.1,6.9
PHENO_G11,3,58.9,63.2,4.0,33.1,0.56,95,19.2,5.3,6.7
PHENO_G12,1,51.6,57.5,3.5,46.5,0.77,80,27.2,1.9,8.7
PHENO_G12,2,52.1,58.1,3.6,47.1,0.78,79,27.8,1.8,8.8
PHENO_G12,3,51.1,57.0,3.5,NA,0.76,81,26.9,2.0,8.6
PHENO_G13,1,42.1,47.1,2.5,44.5,0.72,73,21.5,2.2,8.1
PHENO_G13,2,42.8,47.8,2.6,45.0,0.73,72,22.0,2.1,8.2
PHENO_G13,3,41.9,46.7,2.5,44.2,0.71,74,21.2,2.3,8.0
PHENO_G14,1,52.8,59.2,4.2,38.7,0.66,85,25.8,4.1,8.2
PHENO_G14,2,53.4,59.8,4.3,39.2,0.67,84,26.4,4.0,8.3
PHENO_G14,3,52.3,58.9,4.1,38.3,0.65,86,25.3,4.2,8.1
PHENO_G15,1,41.8,46.5,2.4,48.1,0.79,78,19.8,1.9,7.4
PHENO_G15,2,42.4,47.0,2.5,48.7,0.80,77,20.1,1.8,7.5
PHENO_G15,3,41.5,46.0,2.3,47.8,0.78,79,19.4,2.0,7.3
PHENO_G16,1,54.5,60.6,3.7,44.0,0.76,89,29.2,2.8,8.6
PHENO_G16,2,55.0,61.1,3.8,44.5,0.77,88,29.7,2.7,8.7
PHENO_G16,3,54.0,60.0,3.6,43.6,0.75,90,28.8,2.9,8.5
