"genotype","plant_height_cm","canopy_width_cm","leaf_area_index","spad_chlorophyll","ndvi_proxy","days_to_maturity","marketable_yield_t_ha","disease_score_1_9","vigor_score_1_9"
"PHENO_G01",43.367,48.567,2.6,43.133,0.7,76,21.467,2.1,7.7
"PHENO_G02",55.533,61.367,3.667,37.3,0.64,91,22.567,4.433,7
"PHENO_G03",50.333,55.667,3.2,47.533,0.78,82,26.8,2.4,8.3
"PHENO_G04",47.3,52.1,3.533,36.633,0.62,79,20.767,2.833,7.9
"PHENO_G05",53.633,60.567,4.1,42.2,0.73,88,28.367,3.5,8.4
"PHENO_G06",39.467,43.233,2.1,34.7,0.58,74,16.767,3.033,6.367
"PHENO_G07",46.033,53.3,3,41.067,0.68,84,23.4,2.9,7.6
"PHENO_G08",58.3,64.467,4.2,39.633,0.71,86,30.133,4.8,8
"PHENO_G09",44.067,49.133,2.8,45.767,0.74,77,22.133,1.7,7.9
"PHENO_G10",48.833,51.067,2.9,49.833,0.81,83,24.933,2.6,8
"PHENO_G11",59.3,63.567,4.033,33.533,0.57,94,19.6,5.2,6.8
"PHENO_G12",51.6,57.533,3.533,45.4,0.77,80,27.3,1.9,8.7
"PHENO_G13",42.267,47.2,2.533,44.567,0.72,73,21.567,2.2,8.1
"PHENO_G14",52.833,59.3,4.2,38.733,0.66,85,25.833,4.1,8.2
"PHENO_G15",41.9,46.5,2.4,48.2,0.79,78,19.767,1.9,7.4
"PHENO_G16",54.5,60.567,3.7,44.033,0.76,89,29.233,2.8,8.6
