"genotype","PC1","PC2","PC3"
"PHENO_G01",-2.199,0.314,0.241
"PHENO_G02",2.345,1.743,-0.852
"PHENO_G03",-0.284,-1.923,-0.286
"PHENO_G04",-0.267,1.338,1.285
"PHENO_G05",2.036,-1.315,0.247
"PHENO_G06",-2.808,3.909,0.263
"PHENO_G07",-0.402,0.535,-0.119
"PHENO_G08",3.229,-0.659,0.257
"PHENO_G09",-2.179,-0.576,0.025
"PHENO_G10",-1.037,-1.729,-1.141
"PHENO_G11",3.524,3.113,-0.756
"PHENO_G12",0.003,-2.226,0.611
"PHENO_G13",-2.626,-0.217,0.576
"PHENO_G14",2.053,0.085,0.861
"PHENO_G15",-3,-0.328,-1.166
"PHENO_G16",1.614,-2.063,-0.045
